     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata
     27496,      1003,         0,   0.020,pymatching,c1f32027697251311c53ef8b02b2ae0c2f077d7280e540d395c5d30ef710915c,"{""b"":""X"",""c"":""bacon_shor"",""d"":2,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":4,""r"":8}"
     14581,      1009,         0,    1.58,pymatching,13499047fda2e05db9552a68411b51034fc98586116276c54d5f66dd66a10d01,"{""b"":""X"",""c"":""bacon_shor"",""d"":3,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":9,""r"":12}"
     28660,      1003,         0,   0.175,pymatching,8b01dedf3ab843822a5f7464b5d0295d5ad11e27ec5d328f119e01d9b94787fc,"{""b"":""X"",""c"":""bacon_shor"",""d"":4,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":16,""r"":16}"
    148315,      1024,         0,   0.785,pymatching,3b4578957798cb587f56c02c4c81382e533d464bd416bda639a6ad1863b8b5a5,"{""b"":""X"",""c"":""bacon_shor"",""d"":5,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":25,""r"":20}"
    156909,      1028,         0,    1.40,pymatching,843a7d568d8161ff1a0340c607c968df2e508db6e236589c1c39539d8f1f2e2d,"{""b"":""X"",""c"":""bacon_shor"",""d"":6,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":36,""r"":24}"
    287418,      1034,         0,    3.63,pymatching,ac09301d88334f1520caf12b6e09c0c1ab6149b744591713aced5816a23dadab,"{""b"":""X"",""c"":""bacon_shor"",""d"":7,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":49,""r"":28}"
    412797,      1011,         0,    8.71,pymatching,99eaca55390849d60d9569713b36025422027807de284a765648e66728099b27,"{""b"":""X"",""c"":""bacon_shor"",""d"":8,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":64,""r"":32}"
    632443,      1027,         0,    15.6,pymatching,cd99d3ab0e8d5f4927bc7cb5f20c86fced97dd7effabf698050023d08177c1d1,"{""b"":""X"",""c"":""bacon_shor"",""d"":9,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":81,""r"":36}"
    862285,      1061,         0,    29.1,pymatching,37f1e7e05248f3dfdbb480aa91737e233aaf771b36197b6426cd70793630a83e,"{""b"":""X"",""c"":""bacon_shor"",""d"":10,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":100,""r"":40}"
   1272204,      1109,         0,    54.7,pymatching,eda6e6c3bf4cfa6a58df3b74699f762427a0adb2f548ea3466d4c0c34f55b0f6,"{""b"":""X"",""c"":""bacon_shor"",""d"":11,""g"":""all"",""noise"":""uniform"",""p"":0.001,""q"":121,""r"":44}"
